"priority","part","code","title","action","source_width","source_height","actual_width","actual_height","source_ok","dimension_ok","input_abs","output_abs","workpack_source","output_filename","title_policy","issue","required_correction"
"A","2","P2-F62","SSH 연결과 안전한 원격관리","전면 재생성","1600","850","1600","850","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part2\P2-F62.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F62.png","01_전면재생성/Part2/P2-F62.png","P2-F62.png","내부 전체 제목·그림 코드 금지","SSH 호스트키 검증이 키 교환보다 먼저 일어나는 것으로 그려져 순서가 틀렸다.","TCP 연결→버전 교환→KEX와 서버 Host Key 서명/known_hosts 검증→암호화 전송 성립→사용자 인증→채널/셸/포워딩 순서로 재구성."
"A","2","P2-F65","IKE 단계와 VPN 유형","전면 재생성","1600","850","1600","850","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part2\P2-F65.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F65.png","01_전면재생성/Part2/P2-F65.png","P2-F65.png","내부 전체 제목·그림 코드 금지","IKEv2 왕복 구조에 IKEv1 역사 설명이 섞여 있다.","IKE_SA_INIT Request/Response, IKE_AUTH Request/Response, CREATE_CHILD_SA로 재구성. IKEv1 `ISAKMP+Oakley/SKEME` 문구는 본도식에서 제거."
"A","3","P3-F04","FTP Active와 Passive 모드","전면 재생성","1800","1004","1800","1004","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part3\P3-F04.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F04.png","01_전면재생성/Part3/P3-F04.png","P3-F04.png","내부 전체 제목·그림 코드 금지","Active/Passive 데이터 연결 방향과 NAT·방화벽 설명이 깨지고 혼재한다.","제어 연결은 양 모드 모두 Client→Server TCP 21. Active는 Server TCP 20→Client 지정 포트, Passive는 Client→Server 고포트. NAT/방화벽 주의점 분리."
"A","3","P3-F05","FTP 명령과 응답 코드 흐름","전면 재생성","1800","1004","1800","1004","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part3\P3-F05.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F05.png","01_전면재생성/Part3/P3-F05.png","P3-F05.png","내부 전체 제목·그림 코드 금지","FTP 명령·응답 화살표 방향과 전송 완료 응답 위치가 틀렸다.","USER/PASS/PWD/CWD/LIST/RETR/STOR/QUIT는 C→S, 응답은 S→C. LIST/RETR/STOR의 별도 데이터 연결과 1xx preliminary, 226 final completion을 분리."
"A","3","P3-F09","SMTP 대화와 포트","전면 재생성","1800","1004","1800","1004","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part3\P3-F09.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F09.png","01_전면재생성/Part3/P3-F09.png","P3-F09.png","내부 전체 제목·그림 코드 금지","SMTP 명령·응답 방향과 STARTTLS 위치가 잘못 읽히며 제목도 깨졌다.","EHLO C→S, 250 S→C, STARTTLS C→S, TLS 협상 후 MAIL FROM/RCPT TO/DATA/본문/`.` C→S, 250 S→C, QUIT C→S, 221 S→C. 25/587/465 역할 분리."
"A","3","P3-F11","MIME 메시지 구조","전면 재생성","1800","1004","1800","1004","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part3\P3-F11.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F11.png","01_전면재생성/Part3/P3-F11.png","P3-F11.png","내부 전체 제목·그림 코드 금지","MIME 헤더·본문·첨부 예시가 광범위하게 깨져 구조를 신뢰할 수 없다.","정상 MIME 예시로 재작성: MIME-Version, multipart/mixed boundary, text/plain UTF-8, application/pdf attachment, Content-Disposition, Base64. `Base64는 암호화가 아님` 표시."
"A","3","P3-F12","메일 헤더 추적과 Authentication-Results","전면 재생성","1800","1004","1800","1004","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part3\P3-F12.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F12.png","01_전면재생성/Part3/P3-F12.png","P3-F12.png","내부 전체 제목·그림 코드 금지","Received·주소·인증결과가 깨지고 SPF/DKIM/DMARC 결과가 서로 모순된다.","Received는 위쪽에 누적되고 아래→위로 추적. Header From·Return-Path·Message-ID·Authentication-Results를 분리하고 일관된 `spf=pass`, `dkim=pass`, `dmarc=pass` 예시 사용."
"A","3","P3-F14","DKIM 서명과 검증","전면 재생성","1800","1004","1800","1004","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part3\P3-F14.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F14.png","01_전면재생성/Part3/P3-F14.png","P3-F14.png","내부 전체 제목·그림 코드 금지","DKIM 공개키·해시·서명 검증 흐름이 뒤섞여 역할과 방향이 틀렸다.","발신 MTA가 선택 헤더·본문을 정규화/해시하고 도메인 개인키로 서명. 수신자는 `selector._domainkey` 공개키를 DNS에서 받아 동일 데이터의 서명과 body hash를 검증."
"A","3","P3-F15","DMARC 정렬·정책·보고","전면 재생성","1800","1004","1800","1004","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part3\P3-F15.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F15.png","01_전면재생성/Part3/P3-F15.png","P3-F15.png","내부 전체 제목·그림 코드 금지","DMARC 판정이 SPF와 DKIM을 모두 요구하는 것처럼 보이며 한글 손상이 광범위하다.","DMARC 통과 조건을 `(SPF pass AND aligned) OR (DKIM pass AND aligned)`로 표시. Header From 정렬, p=none/quarantine/reject, 보고를 분리."
"A","3","P3-F19","URL과 HTTP 요청·응답 구조","전면 재생성","1800","1004","1800","1004","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part3\P3-F19.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F19.png","01_전면재생성/Part3/P3-F19.png","P3-F19.png","내부 전체 제목·그림 코드 금지","URL 구성요소와 HTTP 예시가 깨지고 path·fragment 설명이 잘못 읽힌다.","URL을 scheme/host/port/path/query/fragment로 정확히 분해하고 fragment는 서버에 전송되지 않음을 표시. 정상 HTTP 요청·응답 예시로 교체."
"A","3","P3-F25","서버 인증서 검증과 신뢰사슬","전면 재생성","1800","1004","1800","1004","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part3\P3-F25.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F25.png","01_전면재생성/Part3/P3-F25.png","P3-F25.png","내부 전체 제목·그림 코드 금지","서버 인증서를 Root CA처럼 보이게 하며 체인·호스트명·폐기 검증 구조가 혼재한다.","서버 Leaf+Intermediate→로컬 Root Trust Anchor 체인으로 표시하고 서명·유효기간·SAN hostname·KU/EKU·Basic Constraints·폐기상태를 검증."
"A","3","P3-F33","Broken Access Control과 IDOR","전면 재생성","1800","1004","1800","1004","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part3\P3-F33.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F33.png","01_전면재생성/Part3/P3-F33.png","P3-F33.png","내부 전체 제목·그림 코드 금지","제목과 본문이 광범위하게 깨져 서버측 객체 인가 원리가 전달되지 않는다.","User A의 자기 객체 요청은 Allow, 타 사용자 객체 ID 변경 요청은 서버측 소유권·역할·테넌트 검사 후 Deny. UUID·버튼 숨김은 인가 대체가 아님 표시."
"A","3","P3-F47","DNS 레코드 유형","전면 재생성","1800","1004","1800","1004","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part3\P3-F47.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F47.png","01_전면재생성/Part3/P3-F47.png","P3-F47.png","내부 전체 제목·그림 코드 금지","AAAA를 별칭처럼 표시하고 NS를 중복하는 등 레코드 매핑이 틀렸다.","A/AAAA/CNAME/MX/NS/SOA/TXT/PTR/SRV의 정확한 이름→값 매핑 표로 재구성."
"A","3","P3-F49","DNS 공격과 대응 지도","전면 재생성","1800","1004","1800","1004","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part3\P3-F49.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F49.png","01_전면재생성/Part3/P3-F49.png","P3-F49.png","내부 전체 제목·그림 코드 금지","DNSSEC·BCP38·터널링·증폭 대응의 연결이 잘못 매핑되었다.","Poisoning→TXID/Port randomization·Bailiwick·DNSSEC, Amplification→Open resolver 제거·RRL·BCP38, Tunneling→Resolver egress·행위분석, Hijacking→Registrar MFA/Lock으로 재매핑."
"A","3","P3-F50","DNSSEC 신뢰사슬","전면 재생성","1800","1004","1800","1004","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part3\P3-F50.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F50.png","01_전면재생성/Part3/P3-F50.png","P3-F50.png","내부 전체 제목·그림 코드 금지","부모 존의 DS 위치와 Root Trust Anchor 검증 사슬이 틀렸다.","Root Trust Anchor→Root DNSKEY 검증, 부모 Zone의 DS→자식 DNSKEY/KSK, 자식 RRset의 RRSIG 검증 흐름으로 재구성. NSEC/NSEC3는 인증된 부재."
"A","3","P3-F54","DB 암호화와 키 관리","전면 재생성","1800","1004","1800","1004","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part3\P3-F54.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F54.png","01_전면재생성/Part3/P3-F54.png","P3-F54.png","내부 전체 제목·그림 코드 금지","DB 암호화 계층과 키 보관·역할 설명이 깨지고 혼재한다.","전송 TLS, 저장 TDE, 열/필드 암호화, 애플리케이션 계층 암호화, KMS/HSM 분리를 계층화. 암호화가 SQLi·권한 오남용을 자동 차단하지 않음을 표시."
"A","3","P3-F56","전자상거래 신뢰모델과 보안요소","전면 재생성","1800","1004","1800","1004","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part3\P3-F56.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F56.png","01_전면재생성/Part3/P3-F56.png","P3-F56.png","내부 전체 제목·그림 코드 금지","구매자·가맹점·게이트웨이·금융기관의 정보 흐름과 역할이 깨졌다.","구매자·가맹점·PG/VAN/Payment Gateway·발급사·매입사/은행·CA를 분리하고 주문·지급·승인·정산 흐름 및 보안요소를 재구성."
"A","3","P3-F57","전자지불 수단과 보안요소","전면 재생성","1800","1004","1800","1004","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part3\P3-F57.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F57.png","01_전면재생성/Part3/P3-F57.png","P3-F57.png","내부 전체 제목·그림 코드 금지","전자지불 수단별 위험·통제가 중복·오탈자로 신뢰하기 어렵다.","신용카드·계좌이체·전자화폐/선불·모바일결제별 핵심 위험과 보호 통제를 4열 비교로 단순화."
"A","3","P3-F58","SET 참여자와 거래 흐름","전면 재생성","1800","1004","1800","1004","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part3\P3-F58.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F58.png","01_전면재생성/Part3/P3-F58.png","P3-F58.png","내부 전체 제목·그림 코드 금지","SET 참여자·주문정보·지급정보·승인 흐름의 방향이 모호하거나 틀렸다.","Cardholder→Merchant 주문정보, 지급정보는 Payment Gateway 공개키로 보호, Merchant→Gateway 승인요청, Gateway↔Issuer/Acquirer 승인·정산, CA는 인증서 지원으로 재구성."
"A","3","P3-F59","SET 이중서명","전면 재생성","1800","1004","1800","1004","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part3\P3-F59.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F59.png","01_전면재생성/Part3/P3-F59.png","P3-F59.png","내부 전체 제목·그림 코드 금지","고객 공개키가 서명 생성에 쓰이는 것처럼 보이고 이중서명 검증식이 틀렸다.","`PIMD=H(PI)`, `OIMD=H(OI)`, `POMD=H(PIMD||OIMD)`, `DS=Sign_customer_private(POMD)`. Merchant는 OI+PIMD, Gateway는 PI+OIMD로 고객 공개키 검증."
"A","3","P3-F60","전자화폐와 은닉서명","전면 재생성","1800","1004","1800","1004","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part3\P3-F60.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F60.png","01_전면재생성/Part3/P3-F60.png","P3-F60.png","내부 전체 제목·그림 코드 금지","은닉·서명·해제·이중지불 확인의 흐름이 뒤섞여 있다.","사용자 Blind→은행이 Blinded value 서명→사용자 Unblind→상점이 은행 공개키 검증→발행기관/DB가 이중지불 확인 순서."
"A","3","P3-F61","전자서명·PKI·시점확인","전면 재생성","1800","1004","1800","1004","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part3\P3-F61.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F61.png","01_전면재생성/Part3/P3-F61.png","P3-F61.png","내부 전체 제목·그림 코드 금지","전자서명, 인증서 경로, TSA의 역할이 한 흐름에서 뒤섞여 잘못 읽힌다.","서명 생성/검증, 인증서 경로/폐기 검증, TSA Timestamp Token을 세 패널로 분리하고 TSA는 데이터 해시+신뢰시각을 서명한다고 표시."
"A","3","P3-F66","Secure SDLC 보안활동","전면 재생성","1800","1004","1800","1004","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part3\P3-F66.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F66.png","01_전면재생성/Part3/P3-F66.png","P3-F66.png","내부 전체 제목·그림 코드 금지","Secure SDLC 단계 순서가 틀리고 Build 단계에 폐기·삭제가 배치되어 있다.","Plan/Requirements→Design/Threat Modeling→Implement/Secure Coding→Build/SBOM·무결성→Test→Deploy→Operate→Retire/데이터 삭제·키 폐기 순서로 재구성."
"A","3","P3-F13","SPF 검증 흐름","부분 수정","1800","1004","1800","1004","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\02_부분수정\Part3\P3-F13.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F13.png","02_부분수정/Part3/P3-F13.png","P3-F13.png","내부 전체 제목·그림 코드 금지","SPF result 의미가 잘못되었다. softfail은 임시 오류가 아니고, 정책 없음은 none이다.","결과 라벨을 pass=허용, fail=명시적 비허용, softfail=약한 실패, neutral=정책 판단 없음, none=SPF 레코드 없음, temperror/permerror로 교체."
"A","3","P3-F24","TLS 1.3 핸드셰이크","부분 수정","1800","1004","1800","1004","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\02_부분수정\Part3\P3-F24.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F24.png","02_부분수정/Part3/P3-F24.png","P3-F24.png","내부 전체 제목·그림 코드 금지","TLS 1.3 보호 시작점과 CertificateVerify·Finished의 역할 라벨이 부정확하다.","ServerHello 이후 후속 핸드셰이크가 보호됨을 표시. CertificateVerify=`인증서 개인키 보유 증명/Transcript 서명`, Finished=`Transcript MAC·키 확인`으로 교체."
"A","3","P3-F31","CSRF 공격과 방어","부분 수정","1800","1004","1800","1004","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\02_부분수정\Part3\P3-F31.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F31.png","02_부분수정/Part3/P3-F31.png","P3-F31.png","내부 전체 제목·그림 코드 금지","SameSite Lax/Strict/None 설명과 재인증 예시가 부정확하다.","Lax=`일부 최상위 안전 탐색에 전송`, Strict=`교차 사이트에서 미전송`, None=`교차 사이트 허용+Secure 필수`. 민감행위 대응은 CAPTCHA 대신 비밀번호/MFA 재인증·거래 확인."
"A","3","P3-F42","Same-Origin Policy와 CORS","부분 수정","1800","1004","1800","1004","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\02_부분수정\Part3\P3-F42.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F42.png","02_부분수정/Part3/P3-F42.png","P3-F42.png","내부 전체 제목·그림 코드 금지","CORS 자격증명 헤더와 Origin 구성 설명을 정확히 고쳐야 한다.","상단 전체 제목 삭제. `Access-Control-Allow-Credentials: true`를 정확히 표기하고 Origin은 scheme+host+port 중 하나라도 다르면 다름을 명시."
"A","4","P4-F11","FAR·FRR·EER 관계 곡선","전면 재생성","1600","893","1600","893","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part4\P4-F11.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part4\P4-F11.png","01_전면재생성/Part4/P4-F11.png","P4-F11.png","내부 전체 제목·그림 코드 금지","개념 구조·수치·화살표 또는 한글 손상이 있어 전면 재생성이 필요하다.","통합 가이드의 `P4-F11` 상세 지침과 허용 텍스트를 그대로 적용."
"A","4","P4-F13","영지식 증명의 Prover·Verifier 흐름","전면 재생성","1600","893","1600","893","True","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\01_전면재생성\Part4\P4-F13.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part4\P4-F13.png","01_전면재생성/Part4/P4-F13.png","P4-F13.png","내부 전체 제목·그림 코드 금지","개념 구조·수치·화살표 또는 한글 손상이 있어 전면 재생성이 필요하다.","통합 가이드의 `P4-F13` 상세 지침과 허용 텍스트를 그대로 적용."
