code,title,caption,purpose,model,source_path,output_path,response_json,expected_width,expected_height,actual_width,actual_height,dimension_ok,status,note
P2-F25,라우팅 테이블과 최장 프리픽스 일치,[P2-F25] 라우팅 테이블과 최장 프리픽스 일치,목적: 라우터가 목적지 IP에 가장 구체적인 경로를 선택하고 기본 경로를 사용하는 과정을 보여준다.,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_extracted_sources\P2-F25.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F25.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_style_regeneration_responses\P2-F25.json,1600,850,1600,850,True,OK,Regenerated from Part2 DOCX SVG-style source.
P2-F26,RIP·OSPF·BGP 비교,[P2-F26] RIP·OSPF·BGP 비교,목적: 거리 벡터·링크 상태·경로 벡터 라우팅의 계산 기준과 적용 범위를 구분한다.,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_extracted_sources\P2-F26.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F26.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_style_regeneration_responses\P2-F26.json,1600,850,1600,850,True,OK,Regenerated from Part2 DOCX SVG-style source.
P2-F27,네트워크 진단 도구 흐름,[P2-F27] 네트워크 진단 도구 흐름,목적: ping·traceroute·arp·netstat/ss·tcpdump를 장애·보안 분석 순서에 맞게 배치한다.,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_extracted_sources\P2-F27.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F27.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_style_regeneration_responses\P2-F27.json,1600,850,1600,850,True,OK,Regenerated from Part2 DOCX SVG-style source.
P2-F28,NetBIOS·NetBEUI·P2P 비교,[P2-F28] NetBIOS·NetBEUI·P2P 비교,목적: 역사적 공유 기술과 P2P 통신의 역할·범위를 구분한다.,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_extracted_sources\P2-F28.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F28.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_style_regeneration_responses\P2-F28.json,1600,850,1600,850,True,OK,Regenerated from Part2 DOCX SVG-style source.
P2-F29,SNMP 구성과 보안 버전,[P2-F29] SNMP 구성과 보안 버전,목적: SNMP Manager·Agent·MIB·Trap 흐름과 v1/v2c/v3 보안 차이를 보여준다.,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_extracted_sources\P2-F29.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F29.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_style_regeneration_responses\P2-F29.json,1600,850,1600,850,True,OK,Regenerated from Part2 DOCX SVG-style source.
P2-F30,무선 LAN 구성과 802.11 동작,[P2-F30] 무선 LAN 구성과 802.11 동작,목적: STA·AP·BSS·ESS·SSID·채널·CSMA/CA의 관계를 이해시킨다.,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_extracted_sources\P2-F30.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F30.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_style_regeneration_responses\P2-F30.json,1600,850,1600,850,True,OK,Regenerated from Part2 DOCX SVG-style source.
P2-F34,DoS/DDoS 자원 고갈 지도,[P2-F34] DoS/DDoS 자원 고갈 지도,목적: 공격을 대역폭·상태 테이블·CPU/메모리·응용 자원 고갈로 분류한다.,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_extracted_sources\P2-F34.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F34.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_style_regeneration_responses\P2-F34.json,1600,850,1600,850,True,OK,Regenerated from Part2 DOCX SVG-style source.
P2-F35,SYN Flood와 SYN Cookie,[P2-F35] SYN Flood와 SYN Cookie,목적: 반개방 연결 큐가 고갈되는 원리와 SYN Cookie·프록시·필터링 대응을 보여준다.,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_extracted_sources\P2-F35.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F35.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_style_regeneration_responses\P2-F35.json,1600,850,1600,850,True,OK,Regenerated from Part2 DOCX SVG-style source.
P2-F36,고전적 비정상 패킷 DoS 비교,[P2-F36] 고전적 비정상 패킷 DoS 비교,목적: Land·Ping of Death·Teardrop·Smurf 공격의 조작 지점과 현대적 의미를 구분한다.,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_extracted_sources\P2-F36.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F36.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_style_regeneration_responses\P2-F36.json,1600,850,1600,850,True,OK,Regenerated from Part2 DOCX SVG-style source.
P2-F37,반사·증폭 DDoS,[P2-F37] 반사·증폭 DDoS,목적: IP 스푸핑을 이용해 작은 요청을 큰 응답으로 반사하는 DNS·NTP·Memcached 증폭 원리를 보여준다.,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_extracted_sources\P2-F37.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F37.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_style_regeneration_responses\P2-F37.json,1600,850,1600,850,True,OK,Regenerated from Part2 DOCX SVG-style source.
P2-F38,응용계층 DoS 비교,[P2-F38] 응용계층 DoS 비교,목적: HTTP Flood·Slowloris·Slow POST/RUDY가 정상 형태 요청으로 서버 자원을 고갈시키는 차이를 보여준다.,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_extracted_sources\P2-F38.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F38.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_style_regeneration_responses\P2-F38.json,1600,850,1600,850,True,OK,Regenerated from Part2 DOCX SVG-style source.
P2-F39,DDoS 대응 다층 구조,[P2-F39] DDoS 대응 다층 구조,목적: 단말·경계·ISP·클라우드 스크러빙·응용 계층에서의 다층 대응을 보여준다.,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_extracted_sources\P2-F39.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F39.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_style_regeneration_responses\P2-F39.json,1600,850,1600,850,True,OK,Regenerated from Part2 DOCX SVG-style source.
P2-F40,스캐닝과 취약점 분석 흐름,[P2-F40] 스캐닝과 취약점 분석 흐름,목적: 호스트 발견부터 포트·서비스·OS·취약점 확인과 수동 검증까지의 절차를 보여준다.,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_extracted_sources\P2-F40.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F40.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_style_regeneration_responses\P2-F40.json,1600,850,1600,850,True,OK,Regenerated from Part2 DOCX SVG-style source.
P2-F42,능동·수동 OS Fingerprinting,[P2-F42] 능동·수동 OS Fingerprinting,목적: 배너·프로토콜 응답·TCP/IP 스택 특성으로 원격 OS와 서비스를 추정하는 방식을 구분한다.,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_extracted_sources\P2-F42.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F42.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_style_regeneration_responses\P2-F42.json,1600,850,1600,850,True,OK,Regenerated from Part2 DOCX SVG-style source.
P2-F43,허브와 스위치 환경의 스니핑,[P2-F43] 허브와 스위치 환경의 스니핑,목적: 허브의 공유 매체와 스위치의 포트별 전달에서 패킷 가시성 차이를 보여준다.,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_extracted_sources\P2-F43.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F43.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_style_regeneration_responses\P2-F43.json,1600,850,1600,850,True,OK,Regenerated from Part2 DOCX SVG-style source.
P2-F44,스위치 환경 스니핑 공격,[P2-F44] 스위치 환경 스니핑 공격,목적: MAC Flooding·ARP Spoofing·Port Mirroring 오용이 스위치 환경에서 트래픽 가시성을 만드는 원리를 비교한다.,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_extracted_sources\P2-F44.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F44.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_style_regeneration_responses\P2-F44.json,1600,850,1600,850,True,OK,Regenerated from Part2 DOCX SVG-style source.
P2-F45,ARP Spoofing 기반 MITM,[P2-F45] ARP Spoofing 기반 MITM,목적: 공격자가 게이트웨이와 피해자 ARP 캐시를 오염시켜 양방향 트래픽을 중계하는 구조를 보여준다.,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_extracted_sources\P2-F45.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F45.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_style_regeneration_responses\P2-F45.json,1600,850,1600,850,True,OK,Regenerated from Part2 DOCX SVG-style source.
P2-F46,IP Spoofing과 Ingress/Egress Filtering,[P2-F46] IP Spoofing과 Ingress/Egress Filtering,목적: 출발지 IP 위조의 목적과 경계 필터링·uRPF로 비정상 출발지를 차단하는 원리를 보여준다.,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_extracted_sources\P2-F46.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F46.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_style_regeneration_responses\P2-F46.json,1600,850,1600,850,True,OK,Regenerated from Part2 DOCX SVG-style source.
P2-F47,DNS Spoofing·Cache Poisoning·Pharming,[P2-F47] DNS Spoofing·Cache Poisoning·Pharming,목적: 위조 DNS 응답과 캐시 오염이 사용자를 가짜 목적지로 보내는 흐름을 구분한다.,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_extracted_sources\P2-F47.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F47.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_style_regeneration_responses\P2-F47.json,1600,850,1600,850,True,OK,Regenerated from Part2 DOCX SVG-style source.
P2-F48,TCP와 웹 세션 하이재킹,[P2-F48] TCP와 웹 세션 하이재킹,목적: TCP 시퀀스 기반 하이재킹과 웹 세션 토큰 탈취의 대상·조건·대응을 비교한다.,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_extracted_sources\P2-F48.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F48.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_style_regeneration_responses\P2-F48.json,1600,850,1600,850,True,OK,Regenerated from Part2 DOCX SVG-style source.
P2-F49,원격접속 공격과 안전한 관리 경로,[P2-F49] 원격접속 공격과 안전한 관리 경로,목적: Telnet/rlogin·노출 RDP/SSH·Trojan/Exploit의 위험과 VPN·점프서버·MFA 기반 관리 경로를 비교한다.,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_extracted_sources\P2-F49.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F49.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_style_regeneration_responses\P2-F49.json,1600,850,1600,850,True,OK,Regenerated from Part2 DOCX SVG-style source.
P2-F50,방화벽 유형 비교,[P2-F50] 방화벽 유형 비교,목적: Packet Filtering·Stateful Inspection·Circuit Gateway·Application Proxy·NGFW의 판단 정보와 장단점을 구분한다.,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_extracted_sources\P2-F50.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F50.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_style_regeneration_responses\P2-F50.json,1600,850,1600,850,True,OK,Regenerated from Part2 DOCX SVG-style source.
P2-F52,방화벽 규칙 순서와 상태·NAT,[P2-F52] 방화벽 규칙 순서와 상태·NAT,"목적: Top-down rule matching, default deny, state table, NAT 전후 주소를 규칙 판정 흐름으로 보여준다.",gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_extracted_sources\P2-F52.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F52.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_style_regeneration_responses\P2-F52.json,1600,850,1600,850,True,OK,Regenerated from Part2 DOCX SVG-style source.
P2-F53,네트워크 분리와 마이크로세그멘테이션,[P2-F53] 네트워크 분리와 마이크로세그멘테이션,목적: 업무망·관리망·서버망·DMZ·개발망·OT망을 분리하고 최소 허용 흐름만 통제하는 구조를 보여준다.,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_extracted_sources\P2-F53.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F53.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_style_regeneration_responses\P2-F53.json,1600,850,1600,850,True,OK,Regenerated from Part2 DOCX SVG-style source.
